"Club","M1Results","M2Results","M3Results","M4Results","M5Results","M6Results","M7Results","M8Results","M9Results","M10Results","M11Results","M12Results","M13Results","M14Results","M15Results","M16Results","M17Results","M18Results","M19Results","M20Results","M21Results","M22Results","M23Results","M24Results","M25Results","M26Results","M27Results","M28Results","M29Results","M30Results","M31Results","M32Results","M33Results","M34Results","M35Results","M36Results","M37Results","M38Results","M1Points","M2Points","M3Points","M4Points","M5Points","M6Points","M7Points","M8Points","M9Points","M10Points","M11Points","M12Points","M13Points","M14Points","M15Points","M16Points","M17Points","M18Points","M19Points","M20Points","M21Points","M22Points","M23Points","M24Points","M25Points","M26Points","M27Points","M28Points","M29Points","M30Points","M31Points","M32Points","M33Points","M34Points","M35Points","M36Points","M37Points","M38Points"
"Man United","AwayW","HomeD","AwayL","HomeW","AwayL","HomeL","AwayW","HomeD","HomeW","AwayW","HomeW","AwayD","AwayD","HomeL","HomeL","AwayW","HomeW","AwayW","AwayW","HomeL","HomeW","AwayL","HomeW","AwayL","HomeD","AwayD","AwayW","AwayW","HomeL","AwayW","HomeL","HomeW","AwayW","AwayL","HomeW","HomeL","HomeW","AwayD","3","1","0","3","0","0","3","1","3","3","3","1","1","0","0","3","3","3","3","0","3","0","3","0","1","1","3","3","0","3","0","3","3","0","3","0","3","1"
"Newcastle","AwayL","HomeD","HomeW","AwayW","HomeL","AwayL","AwayW","HomeD","AwayL","HomeW","AwayW","HomeW","HomeW","AwayL","AwayW","HomeD","AwayW","HomeW","HomeL","AwayL","HomeL","AwayW","AwayD","HomeL","AwayL","HomeL","HomeW","AwayW","AwayL","HomeW","HomeL","AwayL","HomeL","AwayL","HomeL","AwayL","HomeW","AwayL","0","1","3","3","0","0","3","1","0","3","3","3","3","0","3","1","3","3","0","0","0","3","1","0","0","0","3","3","0","3","0","0","0","0","0","0","3","0"
"Norwich","HomeD","AwayL","HomeW","AwayL","HomeL","AwayW","HomeL","AwayL","HomeD","AwayL","HomeW","AwayL","HomeW","AwayL","AwayW","HomeD","AwayD","HomeL","HomeL","AwayD","AwayL","HomeW","HomeD","AwayL","HomeD","AwayL","HomeW","AwayL","HomeD","AwayL","HomeW","AwayL","HomeL","AwayL","HomeL","AwayL","AwayD","HomeL","1","0","3","0","0","3","0","0","1","0","3","0","3","0","3","1","1","0","0","1","0","3","1","0","1","0","3","0","1","0","3","0","0","0","0","0","1","0"
"Southampton","AwayW","HomeD","AwayL","HomeD","AwayW","HomeW","HomeW","AwayD","HomeW","AwayD","HomeW","AwayL","AwayL","HomeL","HomeD","AwayD","HomeL","AwayW","AwayL","HomeL","HomeW","AwayD","HomeD","AwayW","HomeD","AwayW","AwayL","HomeL","AwayW","HomeW","AwayL","HomeW","AwayL","HomeL","AwayD","HomeW","AwayW","HomeD","3","1","0","1","3","3","3","1","3","1","3","0","0","0","1","1","0","3","0","0","3","1","1","3","1","3","0","0","3","3","0","3","0","0","1","3","3","1"
"Stoke","AwayL","HomeW","AwayW","HomeD","AwayL","HomeL","AwayL","HomeD","AwayL","HomeD","AwayD","HomeW","AwayL","HomeD","HomeW","AwayD","HomeW","AwayL","AwayL","HomeD","HomeL","AwayL","AwayL","HomeW","AwayD","HomeD","AwayL","HomeW","AwayD","HomeW","AwayW","HomeW","AwayL","HomeW","AwayD","HomeL","HomeW","AwayW","0","3","3","1","0","0","0","1","0","1","1","3","0","1","3","1","3","0","0","1","0","0","0","3","1","1","0","3","1","3","3","3","0","3","1","0","3","3"
"Sunderland","HomeL","AwayD","AwayL","HomeL","AwayL","HomeL","HomeL","AwayL","HomeW","AwayL","HomeW","AwayL","AwayD","HomeL","HomeL","AwayD","HomeD","AwayW","AwayD","HomeL","AwayW","HomeD","HomeW","AwayW","HomeL","AwayL","HomeD","AwayL","AwayL","HomeL","AwayL","HomeL","AwayD","AwayW","HomeW","AwayW","HomeW","HomeL","0","1","0","0","0","0","0","0","3","0","3","0","1","0","0","1","1","3","1","0","3","1","3","3","0","0","1","0","0","0","0","0","1","3","3","3","3","0"
"Swansea","HomeL","AwayL","AwayW","HomeD","AwayW","HomeL","AwayL","HomeW","HomeD","AwayL","HomeD","AwayW","AwayL","HomeW","HomeD","AwayD","HomeL","AwayL","AwayD","HomeL","AwayL","HomeL","HomeW","AwayL","HomeW","AwayD","AwayL","HomeD","HomeL","AwayL","AwayD","HomeW","AwayL","HomeL","AwayW","HomeW","HomeL","AwayW","0","0","3","1","3","0","0","3","1","0","1","3","0","3","1","1","0","0","1","0","0","0","3","0","3","1","0","1","0","0","1","3","0","0","3","3","0","3"
"Tottenham","AwayW","HomeW","AwayL","HomeW","AwayW","HomeD","HomeL","AwayW","HomeW","AwayD","HomeL","AwayL","HomeD","AwayW","AwayW","HomeL","AwayW","HomeD","HomeW","AwayW","HomeW","AwayW","HomeL","AwayD","HomeW","AwayW","AwayL","HomeW","AwayL","HomeL","HomeW","AwayL","HomeW","AwayD","HomeW","AwayW","AwayL","HomeW","3","3","0","3","3","1","0","3","3","1","0","0","1","3","3","0","3","1","3","3","3","3","0","1","3","3","0","3","0","0","3","0","3","1","3","3","0","3"
"West Brom","HomeL","AwayD","HomeL","AwayD","HomeW","AwayW","HomeD","AwayD","AwayL","HomeW","AwayD","HomeD","AwayL","HomeL","HomeL","AwayL","HomeD","AwayD","AwayD","HomeW","AwayL","HomeD","AwayL","HomeD","AwayL","HomeD","HomeD","HomeL","AwayW","AwayL","HomeD","AwayW","HomeD","AwayL","HomeW","AwayL","AwayL","HomeL","0","1","0","1","3","3","1","1","0","3","1","1","0","0","0","0","1","1","1","3","0","1","0","1","0","1","1","0","3","0","1","3","1","0","3","0","0","0"
"West Ham","HomeW","AwayD","HomeL","AwayD","HomeL","AwayL","AwayW","HomeL","AwayD","HomeD","AwayL","HomeL","HomeW","AwayL","AwayL","HomeD","AwayL","HomeL","HomeD","AwayL","AwayW","HomeL","AwayD","HomeW","AwayW","HomeW","HomeW","AwayL","AwayL","HomeL","HomeW","AwayW","HomeL","AwayL","HomeL","AwayL","HomeW","AwayL","3","1","0","1","0","0","3","0","1","1","0","0","3","0","0","1","0","0","1","0","3","0","1","3","3","3","3","0","0","0","3","3","0","0","0","0","3","0"
