"Club","M1Results","M2Results","M3Results","M4Results","M5Results","M6Results","M7Results","M8Results","M9Results","M10Results","M11Results","M12Results","M13Results","M14Results","M15Results","M16Results","M17Results","M18Results","M19Results","M20Results","M21Results","M22Results","M23Results","M24Results","M25Results","M26Results","M27Results","M28Results","M29Results","M30Results","M31Results","M32Results","M33Results","M34Results","M35Results","M36Results","M37Results","M38Results","M1Points","M2Points","M3Points","M4Points","M5Points","M6Points","M7Points","M8Points","M9Points","M10Points","M11Points","M12Points","M13Points","M14Points","M15Points","M16Points","M17Points","M18Points","M19Points","M20Points","M21Points","M22Points","M23Points","M24Points","M25Points","M26Points","M27Points","M28Points","M29Points","M30Points","M31Points","M32Points","M33Points","M34Points","M35Points","M36Points","M37Points","M38Points"
"QPR","HomeL","AwayD","AwayL","HomeD","AwayL","HomeL","AwayL","HomeD","AwayL","HomeD","AwayL","HomeL","AwayL","AwayD","HomeD","AwayD","HomeW","AwayL","HomeL","HomeL","AwayW","HomeD","AwayD","HomeD","HomeD","AwayL","HomeL","AwayW","HomeW","AwayL","AwayL","HomeD","AwayL","HomeL","AwayD","HomeL","HomeL","AwayL","0","1","0","1","0","0","0","1","0","1","0","0","0","1","1","1","3","0","0","0","3","1","1","1","1","0","0","3","3","0","0","1","0","0","1","0","0","0"
"Reading","HomeD","AwayL","HomeL","AwayL","HomeD","AwayD","AwayL","HomeD","AwayD","HomeD","HomeW","AwayL","AwayL","HomeL","AwayL","AwayL","HomeL","AwayL","HomeD","HomeW","AwayL","HomeW","AwayW","HomeD","HomeW","AwayL","HomeL","AwayL","HomeL","AwayL","AwayL","HomeL","HomeD","AwayL","HomeD","AwayW","HomeL","AwayL","1","0","0","0","1","1","0","1","1","1","3","0","0","0","0","0","0","0","1","3","0","3","3","1","3","0","0","0","0","0","0","0","1","0","1","3","0","0"
"Southampton","AwayL","HomeL","HomeL","AwayL","HomeW","AwayL","HomeD","AwayL","HomeL","AwayL","HomeD","AwayW","HomeW","HomeD","AwayL","HomeW","HomeL","AwayD","AwayD","HomeD","AwayW","AwayD","HomeD","AwayL","AwayD","HomeW","AwayL","HomeL","AwayD","HomeW","HomeW","AwayW","HomeD","AwayD","HomeL","AwayL","AwayD","HomeD","0","0","0","0","3","0","1","0","0","0","1","3","3","1","0","3","0","1","1","1","3","1","1","0","1","3","0","0","1","3","3","3","1","1","0","0","1","1"
"Stoke","AwayD","HomeD","AwayD","HomeD","AwayL","HomeW","AwayD","AwayL","HomeD","AwayL","HomeW","AwayD","HomeW","HomeW","AwayW","AwayD","HomeD","AwayD","HomeW","HomeD","AwayL","HomeL","AwayL","HomeD","AwayL","HomeW","AwayL","HomeL","AwayL","HomeD","AwayL","HomeL","HomeL","AwayW","HomeW","AwayD","HomeL","AwayD","1","1","1","1","0","3","1","0","1","0","3","1","3","3","3","1","1","1","3","1","0","0","0","1","0","3","0","0","0","1","0","0","0","3","3","1","0","1"
"Sunderland","AwayD","AwayD","HomeD","AwayD","HomeW","AwayL","HomeD","AwayD","HomeL","AwayL","AwayW","HomeL","HomeD","AwayL","HomeL","HomeW","AwayL","AwayW","HomeW","HomeL","AwayL","HomeW","AwayW","HomeD","AwayL","HomeL","AwayL","HomeD","AwayL","HomeD","HomeL","AwayL","AwayW","HomeW","AwayL","HomeD","HomeD","AwayL","1","1","1","1","3","0","1","1","0","0","3","0","1","0","0","3","0","3","3","0","0","3","3","1","0","0","0","1","0","1","0","0","3","3","0","1","1","0"
"Swansea","AwayW","HomeW","HomeD","AwayL","HomeL","AwayL","HomeD","HomeW","AwayL","HomeD","AwayD","AwayW","HomeD","HomeW","AwayW","HomeL","AwayL","HomeD","AwayD","AwayW","HomeD","AwayD","HomeW","AwayD","AwayL","HomeW","AwayL","HomeW","AwayL","HomeL","HomeL","AwayD","HomeD","AwayL","HomeD","AwayW","AwayL","HomeL","3","3","1","0","0","0","1","3","0","1","1","3","1","3","3","0","0","1","1","3","1","1","3","1","0","3","0","3","0","0","0","1","1","0","1","3","0","0"
"Tottenham","AwayL","HomeD","HomeD","AwayW","HomeW","AwayW","HomeW","HomeL","AwayW","HomeL","AwayL","AwayL","HomeW","HomeW","AwayW","AwayL","HomeW","HomeD","AwayW","AwayW","HomeW","AwayD","HomeD","AwayD","AwayW","HomeW","AwayW","HomeW","AwayL","HomeL","AwayW","HomeD","HomeW","AwayD","HomeW","AwayD","AwayW","HomeW","0","1","1","3","3","3","3","0","3","0","0","0","3","3","3","0","3","1","3","3","3","1","1","1","3","3","3","3","0","0","3","1","3","1","3","1","3","3"
"West Brom","HomeW","AwayD","HomeW","AwayL","HomeW","AwayD","HomeW","HomeL","AwayL","HomeW","AwayW","HomeW","AwayW","AwayL","HomeL","AwayL","HomeD","HomeW","AwayW","AwayL","HomeL","AwayL","HomeD","AwayL","HomeL","AwayW","HomeW","AwayL","HomeW","AwayD","AwayL","HomeL","HomeD","AwayW","HomeL","AwayL","AwayL","HomeD","3","1","3","0","3","1","3","0","0","3","3","3","3","0","0","0","1","3","3","0","0","0","1","0","0","3","3","0","3","1","0","0","1","3","0","0","0","1"
"West Ham","HomeW","AwayL","HomeW","AwayD","HomeD","AwayW","HomeL","HomeW","AwayL","HomeD","AwayW","HomeD","AwayL","AwayL","HomeW","HomeL","AwayD","HomeL","AwayL","HomeW","AwayL","HomeD","AwayL","AwayL","HomeW","AwayL","HomeL","AwayW","AwayL","HomeW","AwayD","AwayD","HomeD","HomeW","AwayL","HomeD","AwayL","HomeW","3","0","3","1","1","3","0","3","0","1","3","1","0","0","3","0","1","0","0","3","0","1","0","0","3","0","0","3","0","3","1","1","1","3","0","1","0","3"
"Wigan","HomeL","AwayW","HomeD","AwayL","HomeL","AwayL","HomeD","AwayL","HomeW","AwayW","HomeL","AwayL","HomeW","HomeL","AwayL","HomeD","AwayL","HomeL","AwayL","AwayW","HomeL","AwayD","HomeL","AwayD","HomeD","AwayL","AwayW","HomeL","HomeW","HomeW","AwayD","AwayL","AwayL","HomeD","AwayW","HomeL","AwayL","HomeD","0","3","1","0","0","0","1","0","3","3","0","0","3","0","0","1","0","0","0","3","0","1","0","1","1","0","3","0","3","3","1","0","0","1","3","0","0","1"
